Ticker,Name,lower_name
BTC-USD,Bitcoin,bitcoin
ETH-USD,Ethereum,ethereum
USDT-USD,Tether,tether
USDC-USD,USD Coin,usd coin
BNB-USD,Binance Coin,binance coin
,Binance,binance
XRP-USD,XRP,xrp
ADA-USD,Cardano,cardano
SOL-USD,Solana,solana
DOGE-USD,Dogecoin,dogecoin
HEX-USD,HEX,hex
DOT-USD,Polkadot,polkadot
SHIB-USD,SHIBA INU,shiba inu
DAI-USD,Dai,dai
MATIC-USD,Polygon,polygon
WTRX-USD,Wrapped TRON,wrapped tron
AVAX-USD,Avalanche,avalanche
TRX-USD,TRON,tron
STETH-USD,Lido stETH,lido steth
WBTC-USD,Wrapped Bitcoin,wrapped bitcoin
LEO-USD,UNUS SED LEO,unus sed leo
ETC-USD,Ethereum Classic,ethereum classic
,Uniswap,uniswap
YOUC-USD,yOUcash,youcash
LTC-USD,Litecoin,litecoin
FTT-USD,FTX Token,ftx token
ATOM-USD,Cosmos,cosmos
LINK-USD,Chainlink,chainlink
CRO-USD,Crypto.com Coin,crypto.com coin
NEAR-USD,NEAR Protocol,near protocol
XMR-USD,Monero,monero
XLM-USD,Stellar,stellar
BCH-USD,Bitcoin Cash,bitcoin cash
BTCB-USD,Bitcoin BEP2,bitcoin bep2
ALGO-USD,Algorand,algorand
FLOW-USD,Flow,flow
VET-USD,VeChain,vechain
,Chain,chain
,Toncoin,toncoin
EOS-USD,EOS,eos
FIL-USD,Filecoin,filecoin
ICP-USD,Internet Computer,internet computer
,ApeCoin,apecoin
MANA-USD,Decentraland,decentraland
FRAX-USD,Frax,frax
SAND-USD,The Sandbox,the sandbox
XTZ-USD,Tezos,tezos
HBAR-USD,Hedera,hedera
CHZ-USD,Chiliz,chiliz
WBNB-USD,Wrapped BNB,wrapped bnb
QNT-USD,Quant,quant
EGLD-USD,Elrond,elrond
AAVE-USD,Aave,aave
THETA-USD,THETA,theta
AXS-USD,Axie Infinity,axie infinity
,BitDAO,bitdao
TUSD-USD,TrueUSD,trueusd
BSV-USD,Bitcoin SV,bitcoin sv
OKB-USD,OKB,okb
ZEC-USD,Zcash,zcash
USDP-USD,Pax Dollar,pax dollar
KCS-USD,KuCoin Token,kucoin token
BTT-USD,BitTorrent,bittorrent
LUNA1-USD,Terra,terra
,BitTorrent (new),bittorrent (new)
HBTC-USD,Huobi BTC,huobi btc
MIOTA-USD,IOTA,iota
HT-USD,Huobi Token,huobi token
HNT-USD,Helium,helium
MKR-USD,Maker,maker
USDD-USD,USDD,usdd
KLAY-USD,Klaytn,klaytn
,The Graph,the graph
FTM-USD,Fantom,fantom
XEC-USD,eCash,ecash
,Neutrino,neutrino
RUNE-USD,THORChain,thorchain
SNX-USD,Synthetix,synthetix
NEO-USD,Neo,neo
PAXG-USD,PAX Gold,pax gold
LDO-USD,Lido DAO Token,lido dao token
CRV-USD,Curve DAO Token,curve dao token
CAKE-USD,PancakeSwap,pancakeswap
NEXO-USD,Nexo,nexo
BAT-USD,Basic Attention Token,basic attention token
WAVES-USD,Waves,waves
DASH-USD,Dash,dash
STX-USD,Stacks,stacks
ZIL-USD,Zilliqa,zilliqa
LRC-USD,Loopring,loopring
ENJ-USD,Enjin Coin,enjin coin
DFI-USD,DeFiChain,defichain
,Green Metaverse Token,green metaverse token
MINA-USD,Mina,mina
DCR-USD,Decred,decred
BTG-USD,Bitcoin Gold,bitcoin gold
XAUT-USD,Tether Gold,tether gold
KAVA-USD,Kava,kava
,Fei,fei
GNO-USD,Gnosis,gnosis
XEM-USD,NEM,nem
1INCH-USD,1inch Network,1inch network
KSM-USD,Kusama,kusama
AR-USD,Arweave,arweave
CELO-USD,Celo,celo
ANKR-USD,Ankr,ankr
HOT1-USD,Holo,holo
CVX-USD,Convex Finance,convex finance
GALA-USD,Gala,gala
XDC-USD,XDC Network,xdc network
COMP1-USD,Compound,compound
GT-USD,GateToken,gatetoken
MV-USD,GensoKishi’s Metaverse,gensokishi’s metaverse
OSMO-USD,Osmosis,osmosis
TFUEL-USD,Theta Fuel,theta fuel
QTUM-USD,Qtum,qtum
NXM-USD,NXM,nxm
YFI-USD,yearn.finance,yearn.finance
ROSE-USD,Oasis Network,oasis network
CCXX-USD,Counos X,counos x
RVN-USD,Ravencoin,ravencoin
KDA-USD,Kadena,kadena
SAFEMOON-USD,SafeMoon,safemoon
GUSD-USD,Gemini Dollar,gemini dollar
KNC-USD,Kyber Network Crystal v2,kyber network crystal v2
IOTX-USD,IoTeX,iotex
AMP-USD,Amp,amp
ZEON-USD,ZEON,zeon
T-USD,Threshold,threshold
BORA-USD,BORA,bora
WEMIX-USD,WEMIX,wemix
LPT-USD,Livepeer,livepeer
UST-USD,TerraUSD,terrausd
BAL-USD,Balancer,balancer
XYM-USD,Symbol,symbol
OMG-USD,OMG Network,omg network
BNX-USD,BinaryX,binaryx
,Harmony,harmony
,Optimism,optimism
ENS-USD,Ethereum Name Service,ethereum name service
ICX-USD,ICON,icon
ZRX-USD,0x,0x
JST-USD,JUST,just
GLM-USD,Golem,golem
RSR-USD,Reserve Rights,reserve rights
,Safe,safe
IOST-USD,IOST,iost
AUDIO-USD,Audius,audius
HIVE-USD,Hive,hive
STORJ-USD,Storj,storj
RPL-USD,Rocket Pool,rocket pool
FLUX-USD,Flux,flux
CEL-USD,Celsius,celsius
LN-USD,LINK,link
WAXP-USD,WAX,wax
ONT-USD,Ontology,ontology
,Terra,terra
SRM-USD,Serum,serum
FRTS-USD,Fruits,fruits
SC-USD,Siacoin,siacoin
GLMR-USD,Moonbeam,moonbeam
ZEN-USD,Horizen,horizen
BTRST-USD,Braintrust,braintrust
